Locality,Muniplicity,Region
Buissenal,Henegouwen,Falnders
Buissonville,Namen,Brussel
Buizingen,Vlaams-Brabant,Brussel
Buken,Vlaams-Brabant,Brussel
Bullange,Luik,Wallonia
Bulskamp,West-Vlaanderen,Wallonia
Bunsbeek,Vlaams-Brabant,Brussel
Burcht,Antwerpen,Falnders
Burdinne,Luik,Wallonia
Bure,Luxemburg,Brussel
Burst,Oost-Vlaanderen,Brussel
Bury,Henegouwen,Falnders
Butgenbach,Luik,Wallonia
Buvingen,Limburg,Falnders
Buvrinnes,Henegouwen,Falnders
Buzenol,Luxemburg,Brussel
Buzet,Henegouwen,Falnders
Callenelle,Henegouwen,Falnders
Calonne,Henegouwen,Falnders
Cambron-Casteau,Henegouwen,Falnders
Cambron-Saint-Vincent,Henegouwen,Falnders
Carlsbourg,Luxemburg,Brussel
Carnières,Henegouwen,Falnders
Casteau,Henegouwen,Falnders
Castillon,Namen,Brussel
Celles,Luik,Wallonia
Celles,Namen,Brussel
Celles,Henegouwen,Falnders
Cerfontaine,Namen,Brussel
Chaineux,Luik,Wallonia
Chairière,Namen,Brussel
Champion,Namen,Brussel
Champlon,Luxemburg,Brussel
Chanly,Luxemburg,Brussel
Chantemelle,Luxemburg,Brussel
Chapelle-lez-herlaimont,Henegouwen,Falnders
Chapelle-À-Oie,Henegouwen,Falnders
Chapelle-À-Wattines,Henegouwen,Falnders
Chapon-Seraing,Luik,Wallonia
Charleroi,Henegouwen,Falnders
Charneux,Luik,Wallonia
Chassepierre,Luxemburg,Brussel
Chastre-Villeroux-Blanmont,Waals-Brabant,Wallonia
Chastrès,Namen,Brussel
Chaudfontaine,Luik,Wallonia
Chaumont-gistoux,Waals-Brabant,Wallonia
Chaussée-Notre-Dame-Louvignies,Henegouwen,Falnders
Cherain,Luxemburg,Brussel
Cheratte,Luik,Wallonia
Chercq,Henegouwen,Falnders
Chevetogne,Namen,Brussel
Chevron,Luik,Wallonia
Chimay,Henegouwen,Falnders
Chiny,Luxemburg,Brussel
Chièvres,Henegouwen,Falnders
Chokier,Luik,Wallonia
Châtelet,Henegouwen,Falnders
Châtelineau,Henegouwen,Falnders
Châtillon,Luxemburg,Brussel
Chênee,Luik,Wallonia
Ciergnon,Namen,Brussel
Ciney,Namen,Brussel
Ciplet,Luik,Wallonia
Ciply,Henegouwen,Falnders
Clabecq,Waals-Brabant,Wallonia
Clavier,Luik,Wallonia
Clermont,Luik,Wallonia
Clermont,Namen,Brussel
Clermont-Sous-Huy,Luik,Wallonia
Cognelée,Namen,Brussel
Colfontaine,Henegouwen,Falnders
Comblain-Fairon,Luik,Wallonia
Comblain-La-Tour,Luik,Wallonia
Comblain-au-pont,Luik,Wallonia
Conneux,Namen,Brussel
Corbais,Waals-Brabant,Wallonia
Corbion,Luxemburg,Brussel
Cordes,Henegouwen,Falnders
Corenne,Namen,Brussel
Cornesse,Luik,Wallonia
Cornimont,Namen,Brussel
Corroy-Le-Château,Namen,Brussel
Corroy-Le-Grand,Waals-Brabant,Wallonia
Corswarem,Luik,Wallonia
Cortil-Noirmont,Waals-Brabant,Wallonia
Cortil-Wodon,Namen,Brussel
Couillet,Henegouwen,Falnders
Cour-Sur-Heure,Henegouwen,Falnders
Courcelles,Henegouwen,Falnders
Courrière,Namen,Brussel
Court-saint-etienne,Waals-Brabant,Wallonia
Couthuin,Luik,Wallonia
Coutisse,Namen,Brussel
Couture-Saint-Germain,Waals-Brabant,Wallonia
Couvin,Namen,Brussel
Cras-Avernas,Luik,Wallonia
Crehen,Luik,Wallonia
Crisnée,Luik,Wallonia
Croix-Lez-Rouveroy,Henegouwen,Falnders
Crombach,Luik,Wallonia
Crupet,Namen,Brussel
Cuesmes,Henegouwen,Falnders
Cugnon,Luxemburg,Brussel
Cul-Des-Sarts,Namen,Brussel
Custinne,Namen,Brussel
Cérexhe-Heuseux,Luik,Wallonia
Céroux-Mousty,Waals-Brabant,Wallonia
Dadizele,West-Vlaanderen,Wallonia
Dailly,Namen,Brussel
Daknam,Oost-Vlaanderen,Brussel
Dalhem,Luik,Wallonia
Damme,West-Vlaanderen,Wallonia
Dampicourt,Luxemburg,Brussel
Dampremy,Henegouwen,Falnders
Darion,Luik,Wallonia
Daussois,Namen,Brussel
Daussoulx,Namen,Brussel
Dave,Namen,Brussel
Daverdisse,Luxemburg,Brussel
De Haan,West-Vlaanderen,Wallonia
De Klinge,Oost-Vlaanderen,Brussel
De Moeren,West-Vlaanderen,Wallonia
De Panne,West-Vlaanderen,Wallonia
De Pinte,Oost-Vlaanderen,Brussel
Deerlijk,West-Vlaanderen,Wallonia
Deftinge,Oost-Vlaanderen,Brussel
Deinze,Oost-Vlaanderen,Brussel
Denderbelle,Oost-Vlaanderen,Brussel
Denderhoutem,Oost-Vlaanderen,Brussel
Denderleeuw,Oost-Vlaanderen,Brussel
Dendermonde,Oost-Vlaanderen,Brussel
Denderwindeke,Oost-Vlaanderen,Brussel
Dentergem,West-Vlaanderen,Wallonia
Denée,Namen,Brussel
Dergneau,Henegouwen,Falnders
Dessel,Antwerpen,Falnders
Desselgem,West-Vlaanderen,Wallonia
Destelbergen,Oost-Vlaanderen,Brussel
Desteldonk,Oost-Vlaanderen,Brussel
Deurle,Oost-Vlaanderen,Brussel
Deurne,Antwerpen,Falnders
Deurne,Vlaams-Brabant,Brussel
Deux-Acren,Henegouwen,Falnders
Dhuy,Namen,Brussel
Diegem,Vlaams-Brabant,Brussel
Diepenbeek,Limburg,Falnders
Diest,Vlaams-Brabant,Brussel
Diets-Heur,Limburg,Falnders
Dikkebus,West-Vlaanderen,Wallonia
Dikkele,Oost-Vlaanderen,Brussel
Dikkelvenne,Oost-Vlaanderen,Brussel
Diksmuide,West-Vlaanderen,Wallonia
Dilbeek,Vlaams-Brabant,Brussel
Dilsen,Limburg,Falnders
Dilsen-stokkem,Limburg,Falnders
Dinant,Namen,Brussel
Dion,Namen,Brussel
Dion-Valmont,Waals-Brabant,Wallonia
Dison,Luik,Wallonia
Dochamps,Luxemburg,Brussel
Doel,Oost-Vlaanderen,Brussel
Dohan,Luxemburg,Brussel
Doische,Namen,Brussel
Dolembreux,Luik,Wallonia
Donceel,Luik,Wallonia
Dongelberg,Waals-Brabant,Wallonia
Donk,Limburg,Falnders
Donstiennes,Henegouwen,Falnders
Dorinne,Namen,Brussel
Dormaal,Vlaams-Brabant,Brussel
Dottenijs,Henegouwen,Falnders
Dour,Henegouwen,Falnders
Dourbes,Namen,Brussel
Dranouter,West-Vlaanderen,Wallonia
Driekapellen,West-Vlaanderen,Wallonia
Drieslinter,Vlaams-Brabant,Brussel
Drogenbos,Vlaams-Brabant,Brussel
Drongen,Oost-Vlaanderen,Brussel
Dréhance,Namen,Brussel
Dudzele,West-Vlaanderen,Wallonia
Duffel,Antwerpen,Falnders
Duisburg,Vlaams-Brabant,Brussel
Duras,Limburg,Falnders
Durbuy,Luxemburg,Brussel
Durnal,Namen,Brussel
Dworp,Vlaams-Brabant,Brussel
Eben-Emael,Luik,Wallonia
Ebly,Luxemburg,Brussel
Ecaussinnes-D'Enghien,Henegouwen,Falnders
Ecaussinnes-Lalaing,Henegouwen,Falnders
Edegem,Antwerpen,Falnders
Edelare,Oost-Vlaanderen,Brussel
Edingen,Henegouwen,Falnders
Eeklo,Oost-Vlaanderen,Brussel
Eernegem,West-Vlaanderen,Wallonia
Egem,West-Vlaanderen,Wallonia
Eggewaartskapelle,West-Vlaanderen,Wallonia
Eghezée,Namen,Brussel
Ehein,Luik,Wallonia
Ehein,Luik,Wallonia
Eigenbilzen,Limburg,Falnders
Eindhout,Antwerpen,Falnders
Eine,Oost-Vlaanderen,Brussel
Eisden,Limburg,Falnders
Eke,Oost-Vlaanderen,Brussel
Ekeren,Antwerpen,Falnders
Eksaarde,Oost-Vlaanderen,Brussel
Eksel,Limburg,Falnders
Elen,Limburg,Falnders
Elene,Oost-Vlaanderen,Brussel
Elewijt,Vlaams-Brabant,Brussel
Eliksem,Vlaams-Brabant,Brussel
Elingen,Vlaams-Brabant,Brussel
Ellemelle,Luik,Wallonia
Ellezelles,Henegouwen,Falnders
Ellignies-Lez-Frasnes,Henegouwen,Falnders
Ellignies-Saint-Anne,Henegouwen,Falnders
Ellikom,Limburg,Falnders
Elouges,Henegouwen,Falnders
Elsegem,Oost-Vlaanderen,Brussel
Elsenborn,Luik,Wallonia
Elsene,Brussel,Falnders
Elst,Oost-Vlaanderen,Brussel
Elverdinge,West-Vlaanderen,Wallonia
Elversele,Oost-Vlaanderen,Brussel
Emblem,Antwerpen,Falnders
Embourg,Luik,Wallonia
Emelgem,West-Vlaanderen,Wallonia
Emines,Namen,Brussel
Emptinne,Namen,Brussel
Ename,Oost-Vlaanderen,Brussel
Engelmanshoven,Limburg,Falnders
Engis,Luik,Wallonia
Enines,Waals-Brabant,Wallonia
Ensival,Luik,Wallonia
Epinois,Henegouwen,Falnders
Eppegem,Vlaams-Brabant,Brussel
Eprave,Namen,Brussel
Erbaut,Henegouwen,Falnders
Erbisoeul,Henegouwen,Falnders
Ere,Henegouwen,Falnders
Erembodegem,Oost-Vlaanderen,Brussel
Erezée,Luxemburg,Brussel
Ermeton-Sur-Biert,Namen,Brussel
Ernage,Namen,Brussel
Erneuville,Luxemburg,Brussel
Ernonheid,Luik,Wallonia
Erondegem,Oost-Vlaanderen,Brussel
Erpe,Oost-Vlaanderen,Brussel
Erpent,Namen,Brussel
Erpion,Henegouwen,Falnders
Erps-Kwerps,Vlaams-Brabant,Brussel
Erquelinnes,Henegouwen,Falnders
Erquennes,Henegouwen,Falnders
Ertvelde,Oost-Vlaanderen,Brussel
Erwetegem,Oost-Vlaanderen,Brussel
Escanaffles,Henegouwen,Falnders
Esen,West-Vlaanderen,Wallonia
Esneux,Luik,Wallonia
Esplechin,Henegouwen,Falnders
Esquelmes,Henegouwen,Falnders
Essen,Antwerpen,Falnders
Essene,Vlaams-Brabant,Brussel
Estaimbourg,Henegouwen,Falnders
Estaimpuis,Henegouwen,Falnders
Estinnes-Au-Mont,Henegouwen,Falnders
Estinnes-Au-Val,Henegouwen,Falnders
Etalle,Luxemburg,Brussel
Ethe,Luxemburg,Brussel
Etikhove,Oost-Vlaanderen,Brussel
Ettelgem,West-Vlaanderen,Wallonia
Etterbeek,Brussel,Falnders
Eugies,Henegouwen,Falnders
Eupen,Luik,Wallonia
Evegnée,Luik,Wallonia
Evelette,Namen,Brussel
Everbeek,Oost-Vlaanderen,Brussel
Everberg,Vlaams-Brabant,Brussel
Evere,Brussel,Falnders
Evergem,Oost-Vlaanderen,Brussel
Evregnies,Henegouwen,Falnders
Evrehailles,Namen,Brussel
Eynatten,Luik,Wallonia
Ezemaal,Vlaams-Brabant,Brussel
Fagnolle,Namen,Brussel
Faimes,Luik,Wallonia
Falaen,Namen,Brussel
Falisolle,Namen,Brussel
Fallais,Luik,Wallonia
Falmagne,Namen,Brussel
Falmignoul,Namen,Brussel
Familleureux,Henegouwen,Falnders
Farciennes,Henegouwen,Falnders
Faulx-Les-Tombes,Namen,Brussel
Fauroeulx,Henegouwen,Falnders
